,Request: Request Number  ↑,Product,DOC ID,Question,extracted_sentence_1,keywords_1,Document_Name_1,DOC_ID_1,new_keywords_1,score_1,extracted_sentence_2,keywords_2,Document_Name_2,DOC_ID_2,new_keywords_2,score_2,extracted_sentence_3,keywords_3,Document_Name_3,DOC_ID_3,new_keywords_3,score_3,accuracy_old,accuracy_new
10,,Ozempic,SEM 120,"Can you send me any information on Ozempic’s impact on hypoglycemia, creatinine levels, and/or overall kidney function in patients with CKD stage 4 vs. stage 5?","{'kidney', 'overall', 'level', 'function', 'hypoglycemia', 'send', 'impact', 'creatinine', 'vs', 'information'}","renal,kidney,outcomes,creatinine,uar,scr,glomerular,gfr",Renal Outcomes (GLP1 012) (v2.0),GLP1 012,",kidney,glomerular,scr,outcomes,gfr,creatinine,renal,uar",12.5,"{'kidney', 'overall', 'level', 'function', 'hypoglycemia', 'send', 'impact', 'creatinine', 'vs', 'information'}","renal,kidney,dialysis,esrd,gfr,egfr,creatinine,clearance,crcl,nephrotic,transplant",Renal Impairment (SEM 125) (v13.0),SEM 125,",clearance,kidney,nephrotic,esrd,dialysis,egfr,gfr,transplant,crcl,creatinine,renal",10.52631579,"{'kidney', 'overall', 'level', 'function', 'hypoglycemia', 'send', 'impact', 'creatinine', 'vs', 'information'}","hypoglycemia,hypo,safety",Hypoglycemia (SEM 120) (v9.0),SEM 120,",safety,hypoglycemia,hypo",8.333333333,accurate with one of docID,accurate with one of docID
11,REQ-43350,Wegovy,none,Would like more information on patients experiencing dramatic weight loss with wegovy.,"{'weight loss', 'weight', 'wegovy', 'information'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",14.28571429,"{'weight loss', 'weight', 'wegovy', 'information'}","surmount,weight,gip,glp-1,glp1,tirzepatide,mounjaro,gip",vs tirzepatide (SEOB 063) (v3.0),SEOB 063,",surmount,glp-1,gip,tirzepatide,weight,mounjaro",11.11111111,"{'weight loss', 'weight', 'wegovy', 'information'}","mtc,men 2,anti-obesity,glp-1 ras,wegovy,saxenda,aom",MTC (Medullary Thyroid Carcinoma) (GOBS 003) (v1.0),GOBS 003,",wegovy,men 2,anti-obesity,saxenda,aom,glp-1 ras,mtc",10,not accurate,not accurate
12,REQ-43424,Rybelsus,none,Provider would like to know if he can use Rybelsus on a patient that is allergic phenergan.,"{'rybelsus', 'use', 'allergy'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",safety,ae,ozempic,rybelsus",16.66666667,"{'rybelsus', 'use', 'allergy'}","cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,",ozempic,rybelsus,semglutide,indication,cardiovascular",14.28571429,"{'rybelsus', 'use', 'allergy'}","allergic,allergy,hypersensitivity,sensitivity,anaphylaxis,anaphylactic,urticaria,rash,immunogenic,immunogenicity",Allergic Reactions (OSEM 044) (v8.0),OSEM 044,",sensitivity,allergy,anaphylaxis,hypersensitivity,rash,anaphylactic,urticaria,immunogenic",10,not accurate,not accurate
13,REQ-43498,Ozempic,SEM 125,"Please send info on Ozempic regarding GFR? Is there a GFR where Ozempic should not be used?

Would also like data on Ozempic and CHF.","{'ozempic', 'gfr', 'chf', 'send', 'data'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",12.5,"{'ozempic', 'gfr', 'chf', 'send', 'data'}","heart,failure,hospitalization,chf,hf,nyha,",SUSTAIN 6-Heart Failure (SEM 163) (v7.0),SEM 163,",hospitalization,chf,heart,hf,failure,nyha",10,"{'ozempic', 'gfr', 'chf', 'send', 'data'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",10,not accurate,not accurate
14,,Ozempic,SEM 163,"Please send info on Ozempic regarding GFR? Is there a GFR where Ozempic should not be used?

Would also like data on Ozempic and CHF.","{'ozempic', 'gfr', 'chf', 'send', 'data'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",12.5,"{'ozempic', 'gfr', 'chf', 'send', 'data'}","heart,failure,hospitalization,chf,hf,nyha,",SUSTAIN 6-Heart Failure (SEM 163) (v7.0),SEM 163,",hospitalization,chf,heart,hf,failure,nyha",10,"{'ozempic', 'gfr', 'chf', 'send', 'data'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",10,accurate with one of docID,accurate with one of docID
15,REQ-43539,Wegovy,SEOB 101,"I would normally send an MI request through Veeva but I am currently not setup in the system after moving back to the field. My role is primarily strategic project focused. .. However, I was in Washington DC this week. I was primarily with lobbyists, poli","{'mi', 'week', 'request', 'move', 'send'}","rationale,dosing,dose,qw,week",Rationale for QW Dosing (SEOB 002) (v8.0),SEOB 002,",week,dose,qw,rationale",12.5,"{'mi', 'week', 'request', 'move', 'send'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0,"{'mi', 'week', 'request', 'move', 'send'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",0,not accurate,not accurate
16,,Wegovy,SEOB 102,"I would normally send an MI request through Veeva but I am currently not setup in the system after moving back to the field. My role is primarily strategic project focused. .. However, I was in Washington DC this week. I was primarily with lobbyists, poli","{'mi', 'week', 'request', 'move', 'send'}","rationale,dosing,dose,qw,week",Rationale for QW Dosing (SEOB 002) (v8.0),SEOB 002,",week,dose,qw,rationale",12.5,"{'mi', 'week', 'request', 'move', 'send'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0,"{'mi', 'week', 'request', 'move', 'send'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",0,not accurate,not accurate
17,,Wegovy,SEOB 103,"I would normally send an MI request through Veeva but I am currently not setup in the system after moving back to the field. My role is primarily strategic project focused. .. However, I was in Washington DC this week. I was primarily with lobbyists, poli","{'mi', 'week', 'request', 'move', 'send'}","rationale,dosing,dose,qw,week",Rationale for QW Dosing (SEOB 002) (v8.0),SEOB 002,",week,dose,qw,rationale",12.5,"{'mi', 'week', 'request', 'move', 'send'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0,"{'mi', 'week', 'request', 'move', 'send'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",0,not accurate,not accurate
18,,Wegovy,SEOB 104,"I would normally send an MI request through Veeva but I am currently not setup in the system after moving back to the field. My role is primarily strategic project focused. .. However, I was in Washington DC this week. I was primarily with lobbyists, poli","{'mi', 'week', 'request', 'move', 'send'}","rationale,dosing,dose,qw,week",Rationale for QW Dosing (SEOB 002) (v8.0),SEOB 002,",week,dose,qw,rationale",12.5,"{'mi', 'week', 'request', 'move', 'send'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0,"{'mi', 'week', 'request', 'move', 'send'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",0,not accurate,not accurate
19,REQ-43546,Ozempic,SEM 007,Any reports of increased myopathy (muscle weakness) with ozempic. People with high ozempic antibody levels any correlation to increased muscle weakness. Any reports of ozempic worsening metabolic myopathy; such as Pompe disease?,"{'level', 'ozempic', 'antibody', 'high'}","antibody,antibodies,immunogenicity",Antibodies (SEM 007) (v8.0),SEM 007,",antibody,immunogenic",20,"{'level', 'ozempic', 'antibody', 'high'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",14.28571429,"{'level', 'ozempic', 'antibody', 'high'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",11.11111111,accurate with one of docID,accurate with one of docID
20,REQ-43551,Ozempic,SEM 178,Can I get a copy of the data that was on a slide presented at last nights at the speaker program? The slide showed the higher that hemoglobin A1c the bigger the drop with Ozempic.  I believe it was breaking out data at different patients with different A1,"{'ozempic', 'hemoglobin a1c', 'speaker', 'hemoglobin', 'a1c', 'last', 'program', 'slide', 'data'}","sustain,overview,slide,slides,clinical",Cover to Ozempic Clinical Overview Deck (SEM 600) (v5.0),SEM 600,",slide,overview,sustain,clinical",8.333333333,"{'ozempic', 'hemoglobin a1c', 'speaker', 'hemoglobin', 'a1c', 'last', 'program', 'slide', 'data'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",8.333333333,"{'ozempic', 'hemoglobin a1c', 'speaker', 'hemoglobin', 'a1c', 'last', 'program', 'slide', 'data'}","clinical,overview,slide,slides,deck",Clinical Overview of Ozempic (SEM 601) (v4.0),SEM 601,",slide,overview,clinical,deck",8.333333333,not accurate,not accurate
21,REQ-43581,Saxenda,SAX 062,Dr Udell wants to know if her patient is safe to take Saxenda if they have previously had papillary and follicular cancer,"{'papillary', 'follicular', 'safety', 'cancer', 'dr'}","neoplasm,safety,neoplasms",Neoplasms (SAX 104) (v3.0),SAX 104,",safety,neoplasm",16.66666667,"{'papillary', 'follicular', 'safety', 'cancer', 'dr'}","adverse,events,safety",Adverse Events-Clinical Trials (SAX 027) (v6.0),SAX 027,",safety,adverse,events",14.28571429,"{'papillary', 'follicular', 'safety', 'cancer', 'dr'}","cancer,tumor,oncology,neoplasm,carcinoma,breast",Breast Neoplasms (SAX 010) (v7.0),SAX 010,",breast,oncology,neoplasm,cancer,carcinoma,tumor",10,not accurate,not accurate
22,,Saxenda,SAX 088,Dr Udell wants to know if her patient is safe to take Saxenda if they have previously had papillary and follicular cancer,"{'papillary', 'follicular', 'safety', 'cancer', 'dr'}","neoplasm,safety,neoplasms",Neoplasms (SAX 104) (v3.0),SAX 104,",safety,neoplasm",16.66666667,"{'papillary', 'follicular', 'safety', 'cancer', 'dr'}","adverse,events,safety",Adverse Events-Clinical Trials (SAX 027) (v6.0),SAX 027,",safety,adverse,events",14.28571429,"{'papillary', 'follicular', 'safety', 'cancer', 'dr'}","cancer,tumor,oncology,neoplasm,carcinoma,breast",Breast Neoplasms (SAX 010) (v7.0),SAX 010,",breast,oncology,neoplasm,cancer,carcinoma,tumor",10,not accurate,not accurate
23,REQ-43582,Ozempic,SEM 008,"Provider has a female patient she started on ozempic. The patient took her first injection on Saturday.  On the Thursday after her first injection of ozempic .25mg, she was outside power washing. That day she noticed itchiness and swelling on her palms an","{'female', 'ozempic', 'swelling', 'injection'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",14.28571429,"{'female', 'ozempic', 'swelling', 'injection'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",11.11111111,"{'female', 'ozempic', 'swelling', 'injection'}","ozempic,semaglutide injection,glycemic,control,0.25,initial,early,switching,initiation,hyperglycemia",Initial Glycemic Control (SEM 021) (v7.0),SEM 021,",glycemic,ozempic,early,control,initiation,initial,hyperglycemia,0.25,switching,semaglutide injection",7.692307692,not accurate,not accurate
24,REQ-43584,Ozempic,SEM 173,"Hello. This provider is interested in how many clicks to get to the 2mg dose.
Thank you",{'click'},"click,clicks,unmarked dosing,pen,marked,unmarked,increment,dosing,dial,dose,doses",Pen-Dosing by Clicks (SEM 173) (v4.0),SEM 173,",dose,pen,click,increment,marked,dial,unmarked dosing,unmarked",12.5,{'click'},excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0,{'click'},"niosh,hazardous",NIOSH Classification (Sema) (SEM 300) (v6.0),SEM 300,",hazardous,niosh",0,accurate with one of docID,not accurate
25,REQ-43590,Rybelsus,none,Can you lower the dose of metformin when you start a patient on Rybelsus?  Is there any data around this question that can be provided?,"{'dose', 'question', 'rybelsus', 'start', 'metformin', 'data', 'low'}","exercise,dosing,physical activity",Dosing-Impact of Exercise (OSEM 091) (v6.0),OSEM 091,",physical activity,dose,exercise",11.11111111,"{'dose', 'question', 'rybelsus', 'start', 'metformin', 'data', 'low'}","3 mg,initiation,starting,starter",3 mg Safety and Efficacy (OSEM 053) (v12.0),OSEM 053,",start,initiation,3 mg",11.11111111,"{'dose', 'question', 'rybelsus', 'start', 'metformin', 'data', 'low'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",safety,ae,ozempic,rybelsus",10,not accurate,not accurate
26,REQ-43598,Ozempic,SEM 125,Ms penson asked for any on going study information with ozempic and the kidneys,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",16.66666667,"{'study', 'ozempic', 'information'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",12.5,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,glycemic,control,0.25,initial,early,switching,initiation,hyperglycemia",Initial Glycemic Control (SEM 021) (v7.0),SEM 021,",glycemic,ozempic,early,control,initiation,initial,hyperglycemia,0.25,switching,semaglutide injection",8.333333333,not accurate,not accurate
27,,Ozempic,SEM 126,Ms penson asked for any on going study information with ozempic and the kidneys,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",16.66666667,"{'study', 'ozempic', 'information'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",12.5,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,glycemic,control,0.25,initial,early,switching,initiation,hyperglycemia",Initial Glycemic Control (SEM 021) (v7.0),SEM 021,",glycemic,ozempic,early,control,initiation,initial,hyperglycemia,0.25,switching,semaglutide injection",8.333333333,not accurate,not accurate
28,REQ-43599,Saxenda,SEOB 049,What are the recommendations of switching patients from Saxenda to Wegovy.  Which wegovy dose is compatible/COMPARABLE  to Saxenda 3mg dose,"{'dose', 'wegovy', 'compatible', 'recommendation', 'switching'}","switching,switch,wegovy,semaglutide",Switching from GLP-1 RAs (SAX 102) (v5.0),SAX 102,",switching,semaglutide,wegovy,switch",28.57142857,"{'dose', 'wegovy', 'compatible', 'recommendation', 'switching'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",12.5,"{'dose', 'wegovy', 'compatible', 'recommendation', 'switching'}","mtc,men 2,anti-obesity,glp-1 ras,wegovy,saxenda,aom",MTC (Medullary Thyroid Carcinoma) (GOBS 003) (v1.0),GOBS 003,",wegovy,men 2,anti-obesity,saxenda,aom,glp-1 ras,mtc",9.090909091,not accurate,not accurate
29,REQ-43600,Ozempic,SEM 124,How do you transition a patient from Victoza to Ozempic?,"{'ozempic', 'victoza', 'transition'}","weight,victoza",Weight vs. Victoza (SEM 142) (v6.0),SEM 142,",weight,victoza",25,"{'ozempic', 'victoza', 'transition'}","structure,victoza",Structure vs Victoza  (SEM 129) (v6.0),SEM 129,",victoza,structure",25,"{'ozempic', 'victoza', 'transition'}","victoza,liraglutide,sustain 10",vs Victoza (SEM 116) (v11.0),SEM 116,",victoza,sustain 10,liraglutide",20,not accurate,not accurate
30,REQ-43601,Wegovy,SEOB 105,Customer requested links to Wegovy phase3b STEP trials.,"{'trial', 'wegovy', 'step', 'trials'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25,"{'trial', 'wegovy', 'step', 'trials'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",14.28571429,"{'trial', 'wegovy', 'step', 'trials'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",t2d,forte,sustain,diabetes,step",12.5,not accurate,not accurate
31,,Wegovy,SEOB 108,Customer requested links to Wegovy phase3b STEP trials.,"{'trial', 'wegovy', 'step', 'trials'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25,"{'trial', 'wegovy', 'step', 'trials'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",14.28571429,"{'trial', 'wegovy', 'step', 'trials'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",t2d,forte,sustain,diabetes,step",12.5,not accurate,not accurate
32,,Wegovy,SEOB 113,Customer requested links to Wegovy phase3b STEP trials.,"{'trial', 'wegovy', 'step', 'trials'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25,"{'trial', 'wegovy', 'step', 'trials'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",14.28571429,"{'trial', 'wegovy', 'step', 'trials'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",t2d,forte,sustain,diabetes,step",12.5,not accurate,not accurate
