,Request: Request Number  ↑,Product,DOC ID,Question,accuracy,extracted_keywords_1,keywords_1,Document_Name_1,DOC_ID_1,new_keywords_1,score_1,extracted_keywords_2,keywords_2,Document_Name_2,DOC_ID_2,new_keywords_2,score_2,extracted_keywords_3,keywords_3,Document_Name_3,DOC_ID_3,new_keywords_3,score_3
10,,Ozempic,SEM 120,"Can you send me any information on Ozempic’s impact on hypoglycemia, creatinine levels, and/or overall kidney function in patients with CKD stage 4 vs. stage 5?",accurate with one of docID,"{'level', 'overall', 'send', 'function', 'impact', 'creatinine', 'vs', 'hypoglycemia', 'kidney', 'information'}","renal,kidney,outcomes,creatinine,uar,scr,glomerular,gfr",Renal Outcomes (GLP1 012) (v2.0),GLP1 012,",creatinine,scr,outcomes,renal,gfr,kidney,uar,glomerular",12.5,"{'level', 'overall', 'send', 'function', 'impact', 'creatinine', 'vs', 'hypoglycemia', 'kidney', 'information'}","renal,kidney,dialysis,esrd,gfr,egfr,creatinine,clearance,crcl,nephrotic,transplant",Renal Impairment (SEM 125) (v13.0),SEM 125,",creatinine,clearance,nephrotic,dialysis,renal,gfr,kidney,egfr,transplant,crcl,esrd",10.5263157895,"{'level', 'overall', 'send', 'function', 'impact', 'creatinine', 'vs', 'hypoglycemia', 'kidney', 'information'}","hypoglycemia,hypo,safety",Hypoglycemia (SEM 120) (v9.0),SEM 120,",hypo,hypoglycemia,safety",8.3333333333
11,REQ-43350,Wegovy,none,Would like more information on patients experiencing dramatic weight loss with wegovy.,not accurate,"{'weight', 'weight loss', 'wegovy', 'information'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",14.2857142857,"{'weight', 'weight loss', 'wegovy', 'information'}","surmount,weight,gip,glp-1,glp1,tirzepatide,mounjaro,gip",vs tirzepatide (SEOB 063) (v3.0),SEOB 063,",tirzepatide,mounjaro,gip,weight,glp-1,surmount",11.1111111111,"{'weight', 'weight loss', 'wegovy', 'information'}","mtc,men 2,anti-obesity,glp-1 ras,wegovy,saxenda,aom",MTC (Medullary Thyroid Carcinoma) (GOBS 003) (v1.0),GOBS 003,",anti-obesity,men 2,wegovy,saxenda,aom,mtc,glp-1 ras",10.0
12,REQ-43424,Rybelsus,none,Provider would like to know if he can use Rybelsus on a patient that is allergic phenergan.,not accurate,"{'use', 'rybelsus', 'allergy'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",ae,rybelsus,ozempic,safety",16.6666666667,"{'use', 'rybelsus', 'allergy'}","cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,",ozempic,rybelsus,semglutide,cardiovascular,indication",14.2857142857,"{'use', 'rybelsus', 'allergy'}","allergic,allergy,hypersensitivity,sensitivity,anaphylaxis,anaphylactic,urticaria,rash,immunogenic,immunogenicity",Allergic Reactions (OSEM 044) (v8.0),OSEM 044,",immunogenic,hypersensitivity,anaphylaxis,anaphylactic,allergy,urticaria,sensitivity,rash",10.0
13,REQ-43498,Ozempic,SEM 125,"Please send info on Ozempic regarding GFR? Is there a GFR where Ozempic should not be used?

Would also like data on Ozempic and CHF.",not accurate,"{'data', 'ozempic', 'send', 'gfr', 'chf'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",interaction,drug,semaglutide injection,ozempic",12.5,"{'data', 'ozempic', 'send', 'gfr', 'chf'}","heart,failure,hospitalization,chf,hf,nyha,",SUSTAIN 6-Heart Failure (SEM 163) (v7.0),SEM 163,",hf,nyha,heart,hospitalization,chf,failure",10.0,"{'data', 'ozempic', 'send', 'gfr', 'chf'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",fpg,ozempic,preprandial,glucose,fasting,semaglutide",10.0
14,,Ozempic,SEM 163,"Please send info on Ozempic regarding GFR? Is there a GFR where Ozempic should not be used?

Would also like data on Ozempic and CHF.",accurate with one of docID,"{'data', 'ozempic', 'send', 'gfr', 'chf'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",interaction,drug,semaglutide injection,ozempic",12.5,"{'data', 'ozempic', 'send', 'gfr', 'chf'}","heart,failure,hospitalization,chf,hf,nyha,",SUSTAIN 6-Heart Failure (SEM 163) (v7.0),SEM 163,",hf,nyha,heart,hospitalization,chf,failure",10.0,"{'data', 'ozempic', 'send', 'gfr', 'chf'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",fpg,ozempic,preprandial,glucose,fasting,semaglutide",10.0
15,REQ-43539,Wegovy,SEOB 101,"I would normally send an MI request through Veeva but I am currently not setup in the system after moving back to the field. My role is primarily strategic project focused. .. However, I was in Washington DC this week. I was primarily with lobbyists, poli",not accurate,"{'move', 'week', 'send', 'mi', 'request'}","rationale,dosing,dose,qw,week",Rationale for QW Dosing (SEOB 002) (v8.0),SEOB 002,",qw,rationale,week,dose",12.5,"{'move', 'week', 'send', 'mi', 'request'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0.0,"{'move', 'week', 'send', 'mi', 'request'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",0.0
16,,Wegovy,SEOB 102,"I would normally send an MI request through Veeva but I am currently not setup in the system after moving back to the field. My role is primarily strategic project focused. .. However, I was in Washington DC this week. I was primarily with lobbyists, poli",not accurate,"{'move', 'week', 'send', 'mi', 'request'}","rationale,dosing,dose,qw,week",Rationale for QW Dosing (SEOB 002) (v8.0),SEOB 002,",qw,rationale,week,dose",12.5,"{'move', 'week', 'send', 'mi', 'request'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0.0,"{'move', 'week', 'send', 'mi', 'request'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",0.0
17,,Wegovy,SEOB 103,"I would normally send an MI request through Veeva but I am currently not setup in the system after moving back to the field. My role is primarily strategic project focused. .. However, I was in Washington DC this week. I was primarily with lobbyists, poli",not accurate,"{'move', 'week', 'send', 'mi', 'request'}","rationale,dosing,dose,qw,week",Rationale for QW Dosing (SEOB 002) (v8.0),SEOB 002,",qw,rationale,week,dose",12.5,"{'move', 'week', 'send', 'mi', 'request'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0.0,"{'move', 'week', 'send', 'mi', 'request'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",0.0
18,,Wegovy,SEOB 104,"I would normally send an MI request through Veeva but I am currently not setup in the system after moving back to the field. My role is primarily strategic project focused. .. However, I was in Washington DC this week. I was primarily with lobbyists, poli",not accurate,"{'move', 'week', 'send', 'mi', 'request'}","rationale,dosing,dose,qw,week",Rationale for QW Dosing (SEOB 002) (v8.0),SEOB 002,",qw,rationale,week,dose",12.5,"{'move', 'week', 'send', 'mi', 'request'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0.0,"{'move', 'week', 'send', 'mi', 'request'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",0.0
19,REQ-43546,Ozempic,SEM 007,Any reports of increased myopathy (muscle weakness) with ozempic. People with high ozempic antibody levels any correlation to increased muscle weakness. Any reports of ozempic worsening metabolic myopathy; such as Pompe disease?,accurate with one of docID,"{'level', 'high', 'ozempic', 'antibody'}","antibody,antibodies,immunogenicity",Antibodies (SEM 007) (v8.0),SEM 007,",immunogenic,antibody",20.0,"{'level', 'high', 'ozempic', 'antibody'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",interaction,drug,semaglutide injection,ozempic",14.2857142857,"{'level', 'high', 'ozempic', 'antibody'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",fpg,ozempic,preprandial,glucose,fasting,semaglutide",11.1111111111
20,REQ-43551,Ozempic,SEM 178,Can I get a copy of the data that was on a slide presented at last nights at the speaker program? The slide showed the higher that hemoglobin A1c the bigger the drop with Ozempic.  I believe it was breaking out data at different patients with different A1,not accurate,"{'slide', 'data', 'ozempic', 'program', 'a1c', 'hemoglobin', 'hemoglobin a1c', 'last', 'speaker'}","sustain,overview,slide,slides,clinical",Cover to Ozempic Clinical Overview Deck (SEM 600) (v5.0),SEM 600,",sustain,clinical,slide,overview",8.3333333333,"{'slide', 'data', 'ozempic', 'program', 'a1c', 'hemoglobin', 'hemoglobin a1c', 'last', 'speaker'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",interaction,drug,semaglutide injection,ozempic",8.3333333333,"{'slide', 'data', 'ozempic', 'program', 'a1c', 'hemoglobin', 'hemoglobin a1c', 'last', 'speaker'}","clinical,overview,slide,slides,deck",Clinical Overview of Ozempic (SEM 601) (v4.0),SEM 601,",clinical,deck,slide,overview",8.3333333333
21,REQ-43581,Saxenda,SAX 062,Dr Udell wants to know if her patient is safe to take Saxenda if they have previously had papillary and follicular cancer,not accurate,"{'cancer', 'safety', 'dr', 'papillary', 'follicular'}","neoplasm,safety,neoplasms",Neoplasms (SAX 104) (v3.0),SAX 104,",neoplasm,safety",16.6666666667,"{'cancer', 'safety', 'dr', 'papillary', 'follicular'}","adverse,events,safety",Adverse Events-Clinical Trials (SAX 027) (v6.0),SAX 027,",events,adverse,safety",14.2857142857,"{'cancer', 'safety', 'dr', 'papillary', 'follicular'}","cancer,tumor,oncology,neoplasm,carcinoma,breast",Breast Neoplasms (SAX 010) (v7.0),SAX 010,",tumor,breast,cancer,neoplasm,oncology,carcinoma",10.0
22,,Saxenda,SAX 088,Dr Udell wants to know if her patient is safe to take Saxenda if they have previously had papillary and follicular cancer,not accurate,"{'cancer', 'safety', 'dr', 'papillary', 'follicular'}","neoplasm,safety,neoplasms",Neoplasms (SAX 104) (v3.0),SAX 104,",neoplasm,safety",16.6666666667,"{'cancer', 'safety', 'dr', 'papillary', 'follicular'}","adverse,events,safety",Adverse Events-Clinical Trials (SAX 027) (v6.0),SAX 027,",events,adverse,safety",14.2857142857,"{'cancer', 'safety', 'dr', 'papillary', 'follicular'}","cancer,tumor,oncology,neoplasm,carcinoma,breast",Breast Neoplasms (SAX 010) (v7.0),SAX 010,",tumor,breast,cancer,neoplasm,oncology,carcinoma",10.0
23,REQ-43582,Ozempic,SEM 008,"Provider has a female patient she started on ozempic. The patient took her first injection on Saturday.  On the Thursday after her first injection of ozempic .25mg, she was outside power washing. That day she noticed itchiness and swelling on her palms an",not accurate,"{'swelling', 'injection', 'female', 'ozempic'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",interaction,drug,semaglutide injection,ozempic",14.2857142857,"{'swelling', 'injection', 'female', 'ozempic'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",fpg,ozempic,preprandial,glucose,fasting,semaglutide",11.1111111111,"{'swelling', 'injection', 'female', 'ozempic'}","ozempic,semaglutide injection,glycemic,control,0.25,initial,early,switching,initiation,hyperglycemia",Initial Glycemic Control (SEM 021) (v7.0),SEM 021,",hyperglycemia,ozempic,semaglutide injection,glycemic,switching,initiation,initial,0.25,control,early",7.6923076923
24,REQ-43584,Ozempic,SEM 173,"Hello. This provider is interested in how many clicks to get to the 2mg dose.
Thank you",accurate with one of docID,{'click'},"click,clicks,unmarked dosing,pen,marked,unmarked,increment,dosing,dial,dose,doses",Pen-Dosing by Clicks (SEM 173) (v4.0),SEM 173,",unmarked dosing,increment,click,unmarked,dose,dial,marked,pen",12.5,{'click'},excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0.0,{'click'},"niosh,hazardous",NIOSH Classification (Sema) (SEM 300) (v6.0),SEM 300,",hazardous,niosh",0.0
25,REQ-43590,Rybelsus,none,Can you lower the dose of metformin when you start a patient on Rybelsus?  Is there any data around this question that can be provided?,not accurate,"{'data', 'rybelsus', 'question', 'dose', 'low', 'start', 'metformin'}","exercise,dosing,physical activity",Dosing-Impact of Exercise (OSEM 091) (v6.0),OSEM 091,",physical activity,exercise,dose",11.1111111111,"{'data', 'rybelsus', 'question', 'dose', 'low', 'start', 'metformin'}","3 mg,initiation,starting,starter",3 mg Safety and Efficacy (OSEM 053) (v12.0),OSEM 053,",start,initiation,3 mg",11.1111111111,"{'data', 'rybelsus', 'question', 'dose', 'low', 'start', 'metformin'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",ae,rybelsus,ozempic,safety",10.0
26,REQ-43598,Ozempic,SEM 125,Ms penson asked for any on going study information with ozempic and the kidneys,not accurate,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",interaction,drug,semaglutide injection,ozempic",16.6666666667,"{'study', 'ozempic', 'information'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",fpg,ozempic,preprandial,glucose,fasting,semaglutide",12.5,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,glycemic,control,0.25,initial,early,switching,initiation,hyperglycemia",Initial Glycemic Control (SEM 021) (v7.0),SEM 021,",hyperglycemia,ozempic,semaglutide injection,glycemic,switching,initiation,initial,0.25,control,early",8.3333333333
27,,Ozempic,SEM 126,Ms penson asked for any on going study information with ozempic and the kidneys,not accurate,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",interaction,drug,semaglutide injection,ozempic",16.6666666667,"{'study', 'ozempic', 'information'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",fpg,ozempic,preprandial,glucose,fasting,semaglutide",12.5,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,glycemic,control,0.25,initial,early,switching,initiation,hyperglycemia",Initial Glycemic Control (SEM 021) (v7.0),SEM 021,",hyperglycemia,ozempic,semaglutide injection,glycemic,switching,initiation,initial,0.25,control,early",8.3333333333
28,REQ-43599,Saxenda,SEOB 049,What are the recommendations of switching patients from Saxenda to Wegovy.  Which wegovy dose is compatible/COMPARABLE  to Saxenda 3mg dose,not accurate,"{'recommendation', 'compatible', 'switching', 'wegovy', 'dose'}","switching,switch,wegovy,semaglutide",Switching from GLP-1 RAs (SAX 102) (v5.0),SAX 102,",switching,semaglutide,wegovy,switch",28.5714285714,"{'recommendation', 'compatible', 'switching', 'wegovy', 'dose'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",12.5,"{'recommendation', 'compatible', 'switching', 'wegovy', 'dose'}","mtc,men 2,anti-obesity,glp-1 ras,wegovy,saxenda,aom",MTC (Medullary Thyroid Carcinoma) (GOBS 003) (v1.0),GOBS 003,",anti-obesity,men 2,wegovy,saxenda,aom,mtc,glp-1 ras",9.0909090909
29,REQ-43600,Ozempic,SEM 124,How do you transition a patient from Victoza to Ozempic?,not accurate,"{'transition', 'ozempic', 'victoza'}","weight,victoza",Weight vs. Victoza (SEM 142) (v6.0),SEM 142,",weight,victoza",25.0,"{'transition', 'ozempic', 'victoza'}","structure,victoza",Structure vs Victoza  (SEM 129) (v6.0),SEM 129,",structure,victoza",25.0,"{'transition', 'ozempic', 'victoza'}","victoza,liraglutide,sustain 10",vs Victoza (SEM 116) (v11.0),SEM 116,",liraglutide,sustain 10,victoza",20.0
30,REQ-43601,Wegovy,SEOB 105,Customer requested links to Wegovy phase3b STEP trials.,not accurate,"{'trials', 'trial', 'step', 'wegovy'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25.0,"{'trials', 'trial', 'step', 'wegovy'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",14.2857142857,"{'trials', 'trial', 'step', 'wegovy'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",step,forte,t2d,sustain,diabetes",12.5
31,,Wegovy,SEOB 108,Customer requested links to Wegovy phase3b STEP trials.,not accurate,"{'trials', 'trial', 'step', 'wegovy'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25.0,"{'trials', 'trial', 'step', 'wegovy'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",14.2857142857,"{'trials', 'trial', 'step', 'wegovy'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",step,forte,t2d,sustain,diabetes",12.5
32,,Wegovy,SEOB 113,Customer requested links to Wegovy phase3b STEP trials.,not accurate,"{'trials', 'trial', 'step', 'wegovy'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25.0,"{'trials', 'trial', 'step', 'wegovy'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",saxenda,anti-obesity medications,wegovy,bariatric surgery",14.2857142857,"{'trials', 'trial', 'step', 'wegovy'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",step,forte,t2d,sustain,diabetes",12.5
